X, Y, campo
8.0246, 55.9817, 1.36114e-09
7.93886, 56.1127, 1.37183e-09
7.89698, 56.1515, 1.38032e-09
7.97849, 56.0431, 1.3668e-09
7.85959, 56.197, 1.38445e-09
8.04773, 55.9622, 1.35878e-09
7.71729, 56.3781, 1.38372e-09
8.3298, 55.5489, 1.30304e-09
9.91482, 51.3957, 3.90207e-10
9.91893, 51.3381, 3.76456e-10
9.95061, 51.1396, 3.21039e-10
9.94159, 51.2158, 3.41964e-10
9.95097, 51.0739, 3.0399e-10
9.93722, 51.2618, 3.5442e-10
9.84115, 51.8687, 5.17075e-10
9.84362, 51.8106, 5.00526e-10
9.89835, 51.5032, 4.20226e-10
9.88022, 51.6416, 4.55556e-10
9.86901, 51.6852, 4.67424e-10
9.88706, 51.5805, 4.41319e-10
9.85844, 51.7677, 4.91268e-10
9.90213, 51.4572, 4.08763e-10
10.0067, 50.4249, 1.22568e-10
10.0434, 49.7265, 7.80382e-11
10.0134, 50.21, 6.13425e-11
10.0155, 50.0563, 1.73096e-11
10.0083, 50.0934, 2.57491e-11
10.0088, 49.9936, 6.902e-12
10.0053, 50.3135, 9.35836e-11
9.9719, 50.8934, 2.53055e-10
9.9655, 50.9622, 2.72714e-10
9.97348, 50.8396, 2.37655e-10
9.99583, 50.5359, 1.51773e-10
9.98675, 50.6635, 1.88152e-10
9.99344, 50.7115, 2.01565e-10
9.99108, 50.5946, 1.6846e-10
9.98041, 50.7529, 2.16763e-10
10.0067, 50.2034, 5.98512e-11
9.96019, 51.0157, 2.86628e-10
9.45243, 53.3114, 8.84329e-10
9.46729, 53.2475, 8.69856e-10
9.53415, 53.058, 8.22872e-10
9.50722, 53.1286, 8.41491e-10
9.55085, 52.9975, 8.09594e-10
9.48784, 53.1869, 8.55694e-10
9.2803, 53.7567, 9.80837e-10
9.26102, 53.7959, 9.89795e-10
9.30601, 53.6926, 9.67514e-10
9.41079, 53.4189, 9.06484e-10
9.36832, 53.5424, 9.36057e-10
9.34823, 53.595, 9.42903e-10
9.38961, 53.4697, 9.19702e-10
9.29748, 53.7057, 9.71112e-10
9.43063, 53.3567, 8.93883e-10
9.73647, 52.3544, 6.42708e-10
9.74059, 52.3014, 6.34132e-10
9.8066, 52.0015, 5.5441e-10
9.78777, 52.1244, 5.87316e-10
9.77307, 52.1592, 5.99837e-10
9.79622, 52.0516, 5.6703e-10
9.75529, 52.2444, 6.21128e-10
9.6052, 52.8134, 7.65772e-10
9.5863, 52.8879, 7.81905e-10
9.62079, 52.7846, 7.58525e-10
9.70169, 52.4882, 6.83486e-10
9.66675, 52.614, 7.13788e-10
9.68504, 52.5249, 6.9191e-10
9.64928, 52.6584, 7.25798e-10
9.64024, 52.705, 7.3613e-10
9.71668, 52.4062, 6.61511e-10
9.57686, 52.9426, 7.93222e-10
9.81821, 51.9438, 5.39002e-10
0.493454, 39.9761, 1.82263e-10
9.23646, 53.8633, 1.00135e-09
10.0382, 49.9484, 1.31288e-11
7.04223, 57.1219, 1.42034e-09
0.0324747, 60.0098, 1.69971e-11
0.638697, 40.0009, 2.2484e-10
0.166408, 39.9865, 8.44933e-11
0.0513757, 39.9847, 4.35234e-11
1.00626, 40.0013, 3.40005e-10
0.503902, 60.0119, 1.63129e-10
0.341542, 39.9971, 1.30205e-10
0.415691, 39.9999, 1.58801e-10
0.510279, 40.0043, 1.91317e-10
0.571684, 40.0062, 2.10967e-10
0.625245, 40.0108, 2.25701e-10
0.693491, 40.007, 2.47827e-10
0.745232, 40.019, 2.67888e-10
0.816656, 40.0246, 2.8559e-10
0.784368, 39.9946, 2.73087e-10
0.870205, 40.0291, 2.98307e-10
0.931369, 40.0347, 3.18124e-10
0.992644, 40.0391, 3.3965e-10
1.05868, 40.0474, 3.60246e-10
1.12432, 40.0477, 3.80562e-10
1.17484, 40.0566, 3.92471e-10
1.23662, 40.0679, 4.08941e-10
1.29971, 40.069, 4.28476e-10
1.3678, 40.0813, 4.40352e-10
1.4185, 40.0884, 4.509e-10
1.47746, 40.1009, 4.67612e-10
1.56325, 40.1071, 4.80864e-10
1.62364, 40.1186, 4.981e-10
1.66446, 40.1306, 5.06295e-10
1.72247, 40.1406, 5.22228e-10
1.7832, 40.1499, 5.32742e-10
1.86598, 40.1597, 5.44057e-10
1.90617, 40.1744, 5.56897e-10
