 X,    Y,   COH  
    0.28000E+02,    0.12000E+02,    0.66637E+72
    0.30000E+02,    0.12000E+02,    0.76307E+72
    0.32000E+02,    0.12000E+02,    0.87811E+72
    0.34000E+02,    0.12000E+02,    0.10152E+73
    0.36000E+02,    0.12000E+02,    0.11791E+73
    0.38000E+02,    0.12000E+02,    0.13767E+73
    0.40000E+02,    0.12000E+02,    0.16210E+73
    0.42000E+02,    0.12000E+02,    0.19446E+73
    0.44000E+02,    0.12000E+02,    0.24267E+73
    0.46000E+02,    0.12000E+02,    0.32328E+73
    0.48000E+02,    0.12000E+02,    0.46535E+73
    0.50000E+02,    0.12000E+02,    0.71358E+73
    0.00000E+00,    0.14000E+02,    0.80333E+71
    0.20000E+01,    0.14000E+02,    0.69981E+71
    0.40000E+01,    0.14000E+02,    0.68262E+71
    0.60000E+01,    0.14000E+02,    0.69127E+71
    0.80000E+01,    0.14000E+02,    0.71651E+71
    0.10000E+02,    0.14000E+02,    0.75542E+71
    0.12000E+02,    0.14000E+02,    0.80736E+71
    0.14000E+02,    0.14000E+02,    0.87284E+71
    0.16000E+02,    0.14000E+02,    0.95312E+71
    0.18000E+02,    0.14000E+02,    0.10500E+72
    0.20000E+02,    0.14000E+02,    0.11658E+72
    0.22000E+02,    0.14000E+02,    0.13034E+72
    0.24000E+02,    0.14000E+02,    0.14663E+72
    0.26000E+02,    0.14000E+02,    0.16590E+72
    0.28000E+02,    0.14000E+02,    0.18867E+72
    0.30000E+02,    0.14000E+02,    0.21560E+72
    0.32000E+02,    0.14000E+02,    0.24748E+72
    0.34000E+02,    0.14000E+02,    0.28532E+72
    0.36000E+02,    0.14000E+02,    0.33047E+72
    0.38000E+02,    0.14000E+02,    0.38525E+72
    0.40000E+02,    0.14000E+02,    0.45460E+72
    0.42000E+02,    0.14000E+02,    0.55016E+72
    0.44000E+02,    0.14000E+02,    0.69724E+72
    0.46000E+02,    0.14000E+02,    0.94407E+72
    0.48000E+02,    0.14000E+02,    0.13712E+73
    0.50000E+02,    0.14000E+02,    0.21009E+73
    0.00000E+00,    0.16000E+02,    0.23008E+71
    0.20000E+01,    0.16000E+02,    0.20036E+71
    0.40000E+01,    0.16000E+02,    0.19527E+71
    0.60000E+01,    0.16000E+02,    0.19755E+71
    0.80000E+01,    0.16000E+02,    0.20461E+71
    0.10000E+02,    0.16000E+02,    0.21561E+71
    0.12000E+02,    0.16000E+02,    0.23036E+71
    0.14000E+02,    0.16000E+02,    0.24897E+71
    0.16000E+02,    0.16000E+02,    0.27179E+71
    0.18000E+02,    0.16000E+02,    0.29930E+71
    0.20000E+02,    0.16000E+02,    0.33214E+71
    0.22000E+02,    0.16000E+02,    0.37110E+71
    0.24000E+02,    0.16000E+02,    0.41715E+71
    0.26000E+02,    0.16000E+02,    0.47146E+71
    0.28000E+02,    0.16000E+02,    0.53547E+71
    0.30000E+02,    0.16000E+02,    0.61092E+71
    0.32000E+02,    0.16000E+02,    0.69996E+71
    0.34000E+02,    0.16000E+02,    0.80544E+71
    0.36000E+02,    0.16000E+02,    0.93167E+71
    0.38000E+02,    0.16000E+02,    0.10868E+72
    0.40000E+02,    0.16000E+02,    0.12888E+72
    0.42000E+02,    0.16000E+02,    0.15767E+72
    0.44000E+02,    0.16000E+02,    0.20290E+72
    0.46000E+02,    0.16000E+02,    0.27860E+72
    0.48000E+02,    0.16000E+02,    0.40747E+72
    0.50000E+02,    0.16000E+02,    0.62375E+72
    0.00000E+00,    0.18000E+02,    0.65911E+70
