  x,     y,   camp
    0.90557E+01,    0.42276E+02,    0.10450E-01
    0.10004E+02,    0.42558E+02,    0.10219E-01
    0.94643E+01,    0.42526E+02,    0.10510E-01
    0.10438E+02,    0.41954E+02,    0.10443E-01
    0.10047E+02,    0.41260E+02,    0.96394E-02
    0.10845E+02,    0.45795E+02,    0.12347E-01
    0.10369E+02,    0.44801E+02,    0.12052E-01
    0.10061E+02,    0.44952E+02,    0.11991E-01
    0.10704E+02,    0.45080E+02,    0.11815E-01
    0.10615E+02,    0.45471E+02,    0.12339E-01
    0.10301E+02,    0.45545E+02,    0.12341E-01
    0.10073E+02,    0.45426E+02,    0.12653E-01
    0.99940E+01,    0.45226E+02,    0.12311E-01
    0.92290E+01,    0.43900E+02,    0.11626E-01
    0.94665E+01,    0.43974E+02,    0.11324E-01
    0.96523E+01,    0.44646E+02,    0.12041E-01
    0.97182E+01,    0.44407E+02,    0.11662E-01
    0.94691E+01,    0.44251E+02,    0.11824E-01
    0.15554E+02,    0.59491E+02,    0.10365E-01
    0.17147E+02,    0.58417E+02,    0.10238E-01
    0.11959E+02,    0.49619E+02,    0.12779E-01
    0.11822E+02,    0.49976E+02,    0.13171E-01
    0.11670E+02,    0.49369E+02,    0.13180E-01
    0.11984E+02,    0.50319E+02,    0.12745E-01
    0.12030E+02,    0.51139E+02,    0.12740E-01
    0.12510E+02,    0.50893E+02,    0.12480E-01
    0.12470E+02,    0.50402E+02,    0.12713E-01
    0.41299E-01,    0.60148E+02,    0.28779E-03
    0.53463E+00,    0.64487E+02,    0.67403E-02
    0.13390E+01,    0.65263E+02,    0.71297E-02
    0.40394E+01,    0.65651E+02,    0.76604E-02
    0.26417E+01,    0.64924E+02,    0.75034E-02
    0.26584E+01,    0.63949E+02,    0.64477E-02
    0.52138E+01,    0.64750E+02,    0.81115E-02
    0.48035E+01,    0.63474E+02,    0.70115E-02
    0.39761E+01,    0.63187E+02,    0.69884E-02
    0.32752E+01,    0.63337E+02,    0.66098E-02
    0.87993E+01,    0.59992E+02,    0.91556E-02
    0.42020E+01,    0.38764E+02,    0.61147E-02
    0.50842E+01,    0.38822E+02,    0.69119E-02
    0.46712E+01,    0.38506E+02,    0.61910E-02
    0.49258E+01,    0.39313E+02,    0.62084E-02
    0.70280E+01,    0.42705E+02,    0.10219E-01
    0.82038E+01,    0.42478E+02,    0.10268E-01
    0.14564E+02,    0.56112E+02,    0.10676E-01
    0.16294E+02,    0.56346E+02,    0.10693E-01
    0.16614E+02,    0.53365E+02,    0.11056E-01
    0.17441E+02,    0.54886E+02,    0.10552E-01
    0.10385E+02,    0.50091E+02,    0.14469E-01
    0.10468E+02,    0.50153E+02,    0.14307E-01
    0.10750E+02,    0.47932E+02,    0.13522E-01
    0.11138E+02,    0.49091E+02,    0.13522E-01
    0.10602E+02,    0.49570E+02,    0.14251E-01
    0.10132E+02,    0.49687E+02,    0.14740E-01
    0.41299E-01,    0.39852E+02,    0.27849E-03
    0.60139E+01,    0.60816E+02,    0.75765E-02
    0.57297E+01,    0.60348E+02,    0.69478E-02
    0.65429E+01,    0.59805E+02,    0.77300E-02
    0.74760E+01,    0.59988E+02,    0.84548E-02
    0.80988E+01,    0.60400E+02,    0.86913E-02
    0.68737E+01,    0.60220E+02,    0.81452E-02
    0.66463E+01,    0.60789E+02,    0.76011E-02
    0.79486E+01,    0.61308E+02,    0.83621E-02
    0.70985E+01,    0.61465E+02,    0.82508E-02
    0.34399E+01,    0.38846E+02,    0.52409E-02
    0.39819E+01,    0.36809E+02,    0.70034E-02
    0.32797E+01,    0.36657E+02,    0.66160E-02
    0.40507E+01,    0.37671E+02,    0.61881E-02
    0.36088E+01,    0.38058E+02,    0.59260E-02
