  x,     y,   camp
    0.14129E+00,    0.38099E+02,    0.47293E-14
    0.26540E+00,    0.38353E+02,    0.30938E-14
    0.53922E+00,    0.38465E+02,    0.35125E-14
    0.14550E+01,    0.37797E+02,    0.64387E-14
    0.11694E+01,    0.37576E+02,    0.62805E-14
    0.13004E+01,    0.38125E+02,    0.58160E-14
    0.72698E+01,    0.41350E+02,    0.19071E-13
    0.86984E+01,    0.41320E+02,    0.19119E-13
    0.68146E+01,    0.41238E+02,    0.18378E-13
    0.70840E+01,    0.41207E+02,    0.17740E-13
    0.71176E+01,    0.40938E+02,    0.17854E-13
    0.64156E+01,    0.40907E+02,    0.17058E-13
    0.63344E+01,    0.40485E+02,    0.16370E-13
    0.62488E+01,    0.40687E+02,    0.15961E-13
    0.66345E+01,    0.40386E+02,    0.15811E-13
    0.68715E+01,    0.40533E+02,    0.17122E-13
    0.68582E+01,    0.40815E+02,    0.17035E-13
    0.66828E+01,    0.40973E+02,    0.17208E-13
    0.98436E+01,    0.38340E+02,    0.17554E-13
    0.86799E+01,    0.38113E+02,    0.17619E-13
    0.82836E+01,    0.39026E+02,    0.16414E-13
    0.36818E+01,    0.37233E+02,    0.11524E-13
    0.34962E+01,    0.37743E+02,    0.97752E-14
    0.29320E+01,    0.37711E+02,    0.93221E-14
    0.31257E+01,    0.36785E+02,    0.10177E-13
    0.26453E+01,    0.37145E+02,    0.98701E-14
    0.19619E+01,    0.39026E+02,    0.52539E-14
    0.15428E+01,    0.38825E+02,    0.37762E-14
    0.18147E+01,    0.38833E+02,    0.51972E-14
    0.15197E+01,    0.38512E+02,    0.53213E-14
    0.17609E+01,    0.38334E+02,    0.52013E-14
    0.19545E+01,    0.38523E+02,    0.60231E-14
    0.49582E+01,    0.40069E+02,    0.13548E-13
    0.51854E+01,    0.40009E+02,    0.13087E-13
    0.51615E+01,    0.39719E+02,    0.13391E-13
    0.49033E+01,    0.39603E+02,    0.12173E-13
    0.47664E+01,    0.39812E+02,    0.12445E-13
    0.48304E+01,    0.39329E+02,    0.12285E-13
    0.49077E+01,    0.38766E+02,    0.11806E-13
    0.50809E+01,    0.39110E+02,    0.12057E-13
    0.40255E+01,    0.39635E+02,    0.10748E-13
    0.39149E+01,    0.39397E+02,    0.10631E-13
