X, Y, V
7.776, 35.749, nan
7.953, 50.665, nan
8.454, 50.684, nan
7.92, 51.129, nan
8.955, 50.7, nan
9.459, 50.722, nan
7.85, 51.579, nan
10.3, 42.328, nan
11.089, 42.368, nan
3.983, 32, nan
5.893, 33.904, nan
5.865, 31.945, nan
10.31, 41.531, nan
5.539, 53.274, nan
4.046, 30.014, nan
4.177, 28.057, nan
4.267, 26.002, nan
7.788, 52.055, nan
7.743, 52.513, nan
2.116, 23.981, nan
4.283, 23.974, nan
10.049, 40.699, nan
9.782, 39.638, nan
2.12, 21.978, nan
2.135, 19.974, nan
2.167, 17.972, nan
0, 15.998, nan
2.193, 15.973, nan
5.966, 52.983, nan
6.313, 52.958, nan
5.933, 53.367, nan
6.756, 52.94, nan
7.239, 52.951, nan
7.724, 52.954, nan
1.448, 53.949, nan
1.958, 53.885, nan
2.557, 53.847, nan
3.197, 53.845, nan
3.823, 53.858, nan
4.435, 53.882, nan
5.01, 53.873, nan
5.537, 53.865, nan
0, 13.998, nan
0, 54.286, nan
0.787, 54.375, nan
1.408, 54.529, nan
0, 11.999, nan
11.744, 44.737, nan
11.772, 43.978, nan
11.806, 43.206, nan
11.739, 45.461, nan
11.705, 46.154, nan
11.864, 42.415, nan
10.002, 50.249, nan
9.972, 50.747, nan
9.975, 50.747, nan
9.977, 50.748, nan
11.659, 46.832, nan
11.652, 47.485, nan
11.646, 48.088, nan
10.462, 48.703, nan
10.491, 49.228, nan
11.029, 48.665, nan
11.617, 48.66, nan
10.501, 49.751, nan
10.496, 50.272, nan
7.686, 33.805, nan
9.808, 38.466, nan
9.534, 37.24, nan
9.435, 35.589, nan
9.376, 33.679, nan
8.415, 51.15, nan
8.912, 51.175, nan
8.352, 51.618, nan
9.411, 51.205, nan
9.922, 51.243, nan
8.283, 52.08, nan
11.099, 41.523, nan
11.929, 41.581, nan
5.918, 30.108, nan
7.557, 31.867, nan
7.449, 30.257, nan
11.032, 40.608, nan
5.929, 53.798, nan
6.362, 28.252, nan
6.497, 26.1, nan
6.538, 23.976, nan
8.22, 52.533, nan
8.16, 52.959, nan
4.294, 21.954, nan
6.552, 21.926, nan
10.957, 39.563, nan
10.931, 38.398, nan
4.332, 19.944, nan
4.383, 17.936, nan
4.459, 15.941, nan
2.207, 13.984, nan
4.47, 13.963, nan
6.321, 53.371, nan
6.762, 53.389, nan
6.314, 53.817, nan
7.255, 53.388, nan
7.739, 53.378, nan
8.135, 53.331, nan
1.962, 54.545, nan
2.561, 54.542, nan
3.17, 54.543, nan
3.805, 54.558, nan
4.437, 54.568, nan
5.061, 54.519, nan
5.96, 54.177, nan
5.692, 54.459, nan
2.205, 12, nan
0, 9.999, nan
2.199, 10.019, nan
0, 7.999, nan
0, 55.238, nan
0.755, 55.249, nan
1.376, 55.242, nan
1.967, 55.228, nan
0, 5.999, nan
12.476, 44.74, nan
12.45, 45.479, nan
12.496, 43.985, nan
12.533, 43.228, nan
12.578, 42.496, nan
12.425, 46.189, nan
12.382, 46.872, nan
12.776, 41.734, nan
10.472, 50.791, nan
9.925, 51.244, nan
9.927, 51.244, nan
10.429, 51.308, nan
12.349, 47.521, nan
12.289, 48.134, nan
12.217, 48.687, nan
11.03, 49.213, nan
11.027, 49.757, nan
11.594, 49.216, nan
12.167, 49.239, nan
11.015, 50.297, nan
10.993, 50.835, nan
9.301, 31.464, nan
10.9, 37.081, nan
10.855, 35.578, nan
11.169, 33.8, nan
11.312, 31.493, nan
8.846, 51.646, nan
9.342, 51.686, nan
8.768, 52.114, nan
9.848, 51.736, nan
9.851, 51.737, nan
8.679, 52.568, nan
11.968, 40.638, nan
12.868, 40.749, nan
8.743, 28.985, nan
11.978, 39.574, nan
6.307, 54.221, nan
8.894, 26.264, nan
8.869, 23.992, nan
8.84, 21.887, nan
8.588, 52.997, nan
8.473, 53.368, nan
8.121, 53.594, nan
8.381, 53.624, nan
6.579, 19.898, nan
8.857, 19.805, nan
12.051, 38.363, nan
12.069, 37.015, nan
6.675, 17.882, nan
6.785, 15.88, nan
6.775, 13.961, nan
4.476, 12.012, nan
6.786, 12.027, nan
6.771, 53.824, nan
7.281, 53.838, nan
6.754, 54.274, nan
7.9, 53.805, nan
2.542, 55.216, nan
3.154, 55.217, nan
3.78, 55.24, nan
6.232, 54.632, nan
4.469, 10.025, nan
2.155, 8.039, nan
4.448, 8.019, nan
2.137, 6.125, nan
0, 3.999, nan
2.029, 4.511, nan
13.164, 42.601, nan
13.192, 43.22, nan
13.212, 43.974, nan
13.194, 44.752, nan
13.17, 45.508, nan
13.139, 46.238, nan
13.1, 46.935, nan
13.041, 47.613, nan
0, 2, nan
0, 0, nan
0, 56.19, nan
0.803, 56.14, nan
1.417, 55.957, nan
1.95, 55.894, nan
2.532, 55.864, nan
4.49, 55.306, nan
5.104, 55.139, nan
5.7, 55.101, nan
6.231, 55.105, nan
13.663, 42.08, nan
13.813, 40.936, nan
11.996, 35.7, nan
10.953, 51.372, nan
9.853, 51.737, nan
10.363, 51.826, nan
10.897, 51.912, nan
12.949, 48.242, nan
12.787, 48.76, nan
12.736, 49.266, nan
11.574, 49.772, nan
11.557, 50.327, nan
12.139, 49.795, nan
12.708, 49.824, nan
11.533, 50.881, nan
11.5, 51.434, nan
9.251, 52.161, nan
9.749, 52.225, nan
9.144, 52.629, nan
9.752, 52.226, nan
9.754, 52.226, nan
9.008, 53.078, nan
12.973, 39.655, nan
13.896, 39.822, nan
13.083, 38.393, nan
6.736, 54.71, nan
8.832, 53.501, nan
8.506, 53.891, nan
8.876, 17.789, nan
9.23, 15.796, nan
8.94, 13.927, nan
10.719, 17.663, nan
11.12, 21.773, nan
11.013, 19.638, nan
11.211, 23.932, nan
11.389, 26.183, nan
11.838, 28.87, nan
13.209, 30.169, nan
13.128, 31.969, nan
12.866, 34.483, nan
13.457, 36.761, nan
8.968, 12.216, nan
10.615, 13.998, nan
10.59, 12.45, nan
6.871, 10.127, nan
9.31, 10.312, nan
7.278, 54.308, nan
7.808, 54.316, nan
8.358, 54.4, nan
3.116, 55.857, nan
