X, Y, corriente
2.90251, 59.5859, 8.72656e-10
2.71752, 59.6328, 8.2148e-10
2.04893, 59.802, 6.44882e-10
2.13129, 59.7831, 6.69802e-10
2.1742, 59.7698, 6.79301e-10
1.92096, 59.8279, 6.00903e-10
1.98158, 59.8177, 6.25333e-10
2.30638, 59.7394, 7.10583e-10
2.34905, 59.7363, 7.21854e-10
2.2341, 59.7562, 6.93504e-10
3.4673, 59.3904, 1.0145e-09
3.52931, 59.3699, 1.03358e-09
3.58419, 59.345, 1.05145e-09
3.36495, 59.4349, 9.87143e-10
3.41157, 59.4094, 9.97487e-10
3.71048, 59.2956, 1.08082e-09
3.75224, 59.2862, 1.08245e-09
3.82929, 59.2514, 1.10268e-09
3.65823, 59.327, 1.06852e-09
3.00036, 59.5557, 9.07542e-10
3.06292, 59.5286, 9.2317e-10
3.13349, 59.5056, 9.43098e-10
2.95799, 59.5617, 8.9522e-10
3.2267, 59.4816, 9.63533e-10
3.30411, 59.4509, 9.77296e-10
3.18933, 59.487, 9.51125e-10
0.580837, 59.997, 1.90415e-10
0.655877, 59.9872, 2.1918e-10
0.487448, 60, 1.61485e-10
0.534979, 60.0028, 1.7574e-10
0.847245, 59.9728, 2.79716e-10
0.895021, 59.9756, 2.96992e-10
0.732454, 59.982, 2.46477e-10
0.786038, 59.9779, 2.63586e-10
0.111302, 60.0082, 4.90939e-11
0.225306, 60.0131, 8.4082e-11
0.149854, 60.0183, 6.49986e-11
0.346693, 60.0039, 1.21229e-10
0.377353, 60.0017, 1.31978e-10
0.420803, 59.9999, 1.41571e-10
0.286741, 60.0115, 9.94139e-11
1.57354, 59.8843, 5.00361e-10
1.64668, 59.8794, 5.22535e-10
1.69976, 59.8634, 5.43374e-10
1.45764, 59.9052, 4.68693e-10
1.51814, 59.8944, 4.83264e-10
1.80776, 59.8494, 5.70709e-10
1.87545, 59.8354, 5.88835e-10
