tita, itv [V]
161.331349, -1.409300e-01
161.682767, -1.412200e-01
162.034751, -1.415100e-01
162.387279, -1.417900e-01
162.740600, -1.420700e-01
163.092480, -1.423400e-01
163.443544, -1.426100e-01
163.796789, -1.428700e-01
164.149241, -1.431200e-01
164.500426, -1.433700e-01
164.853688, -1.436200e-01
165.205523, -1.438600e-01
165.557652, -1.440900e-01
165.909627, -1.443200e-01
166.262157, -1.445400e-01
166.614553, -1.447600e-01
166.966566, -1.449700e-01
167.318779, -1.451800e-01
167.671272, -1.453800e-01
168.023426, -1.455700e-01
168.375549, -1.457600e-01
168.727943, -1.459400e-01
169.080064, -1.461200e-01
169.432477, -1.463000e-01
169.784368, -1.464700e-01
170.137098, -1.466300e-01
170.489324, -1.467900e-01
170.841635, -1.469300e-01
171.193777, -1.470700e-01
171.545775, -1.472100e-01
171.898344, -1.473500e-01
172.250504, -1.474700e-01
172.602933, -1.476000e-01
172.954905, -1.477100e-01
173.307162, -1.478200e-01
173.659650, -1.479300e-01
174.011528, -1.480300e-01
174.364223, -1.481300e-01
174.716262, -1.482100e-01
175.068511, -1.483000e-01
175.420717, -1.483800e-01
175.773088, -1.484500e-01
176.125182, -1.485200e-01
176.477459, -1.485800e-01
176.829864, -1.486400e-01
177.182031, -1.486900e-01
177.534314, -1.487400e-01
177.886475, -1.487700e-01
178.238685, -1.488100e-01
178.591001, -1.488300e-01
178.943206, -1.488500e-01
179.295477, -1.488700e-01
179.491340, -1.488800e-01
179.647755, -1.488800e-01
179.828293, -1.488800e-01
180.000000, -1.488800e-01
