tita [grados], phi [V]
23.9946505874, 0.3847
24.0127339894, 0.40504
24.0356405315, 0.36913
24.0553595935, 0.48581
24.1659399124, 0.46967
24.1701226126, 0.42825
24.2577888445, 0.49996
24.25785056, 0.35782
24.306807749, 0.37373
24.3102679039, 0.45243
24.3747712513, 0.39161
24.393292726, 0.48442
24.5724497787, 0.37557
24.5962578474, 0.46772
24.6086340244, 0.49997
24.609660805, 0.41295
24.609923008, 0.35822
24.6515146087, 0.44079
24.6904085465, 0.48653
24.7718254833, 0.39093
24.8443057745, 0.37225
24.919956634, 0.47948
24.9608195742, 0.49997
24.9615104102, 0.35862
25.0342996659, 0.45851
25.0513634022, 0.42979
25.141094311, 0.38361
25.1472544093, 0.3692
25.1559103841, 0.40461
25.2163129884, 0.48287
25.3120972238, 0.35903
25.3124918473, 0.49997
25.457477128, 0.37198
25.4671403328, 0.44498
25.4749211975, 0.4684
25.4837411722, 0.38671
25.5358127422, 0.42171
25.5490959848, 0.48561
25.6389093085, 0.40086
25.6645207649, 0.35944
25.66507744, 0.49997
25.7854981588, 0.37236
25.8260301891, 0.38613
25.8391619519, 0.45793
25.8534879682, 0.48841
25.872490745, 0.47486
25.9783660823, 0.41215
26.0151769906, 0.49997
26.0159656385, 0.35986
26.063733733, 0.43605
26.1079794066, 0.39486
26.119787951, 0.37622
26.1827451548, 0.48445
26.3013845053, 0.46327
26.366218617, 0.49997
26.3664141748, 0.36028
26.4323880468, 0.38971
26.432677644, 0.37299
26.4700696738, 0.41317
26.5390654274, 0.48323
26.6267828305, 0.43958
26.6952463017, 0.37914
26.7183022396, 0.36071
26.7193079824, 0.49997
26.752875641, 0.46458
26.7871123529, 0.39799
26.8754382928, 0.48407
26.9354136818, 0.37136
26.9843765352, 0.3843
27.0209860513, 0.41938
27.0697048502, 0.36115
27.0713999654, 0.49997
27.0893333555, 0.44707
27.1329953402, 0.46949
27.1748020048, 0.48726
27.2006673004, 0.39639
27.2549293769, 0.37603
27.4226287315, 0.36159
27.4229860571, 0.49997
27.4362497722, 0.48117
27.4754250222, 0.43358
27.5591494512, 0.45988
27.563934102, 0.38707
27.5675691589, 0.4083
27.5754272137, 0.37255
27.7466075162, 0.48181
27.7735376796, 0.49997
27.7746030802, 0.36203
27.8855538871, 0.37581
27.9118586622, 0.42373
27.9159382884, 0.39205
27.9771170308, 0.44455
28.0361759705, 0.46649
28.0532098995, 0.48463
28.0770523314, 0.40619
28.1256106125, 0.36249
28.1257392318, 0.49997
28.1673468762, 0.38165
28.3404352138, 0.48735
28.40879134, 0.47222
28.41406352, 0.39729
28.425479287, 0.42338
28.4390680493, 0.37879
28.4624844758, 0.45029
28.4756344298, 0.36294
28.4769352894, 0.49997
28.673459025, 0.48478
28.7056550493, 0.37436
28.7663901484, 0.38926
28.8271094743, 0.49997
28.8272888293, 0.3634
28.8435296642, 0.46539
28.8623255307, 0.40925
28.9663308845, 0.43517
29.0208293757, 0.48534
29.024616769, 0.3772
29.1566136453, 0.39346
29.1795392136, 0.49997
29.1811216162, 0.36387
29.2418946161, 0.47265
29.2426272368, 0.45467
29.3598448695, 0.37795
29.3830333608, 0.48586
29.3988696862, 0.41454
29.5308698287, 0.36434
29.530972741, 0.49997
29.5357430801, 0.39355
29.5360177311, 0.43927
29.6095284536, 0.46533
29.7126485013, 0.48481
29.7204552968, 0.37894
29.8828182223, 0.36482
29.8842485966, 0.49997
29.9119513311, 0.42352
29.9645503338, 0.40005
29.9771031553, 0.47218
