 X,    Y,   CNA  
    0.99100E+01,    0.45060E+02,    0.77614E+08
    0.95900E+01,    0.40500E+02,    0.97691E+08
    0.97100E+01,    0.41380E+02,    0.95360E+08
    0.98000E+01,    0.42210E+02,    0.91907E+08
    0.96500E+01,    0.43000E+02,    0.85044E+08
    0.96100E+01,    0.43790E+02,    0.78493E+08
    0.98000E+01,    0.44500E+02,    0.77482E+08
    0.52000E+01,    0.39950E+02,    0.97945E+08
    0.57900E+01,    0.40260E+02,    0.85683E+08
    0.64800E+01,    0.40540E+02,    0.80037E+08
    0.72700E+01,    0.40590E+02,    0.81277E+08
    0.79300E+01,    0.40490E+02,    0.85123E+08
    0.86100E+01,    0.40600E+02,    0.90757E+08
    0.91300E+01,    0.43240E+02,    0.73414E+08
    0.87900E+01,    0.43490E+02,    0.64339E+08
    0.67500E+01,    0.41390E+02,    0.69247E+08
    0.70100E+01,    0.41070E+02,    0.74496E+08
    0.73600E+01,    0.41350E+02,    0.72422E+08
    0.77400E+01,    0.41640E+02,    0.71707E+08
    0.82300E+01,    0.41890E+02,    0.74545E+08
    0.85900E+01,    0.42440E+02,    0.72429E+08
    0.88600E+01,    0.42890E+02,    0.71808E+08
    0.78400E+01,    0.42330E+02,    0.63700E+08
    0.74500E+01,    0.42000E+02,    0.64217E+08
    0.70800E+01,    0.41690E+02,    0.66206E+08
    0.81900E+01,    0.42750E+02,    0.62800E+08
    0.85000E+01,    0.43140E+02,    0.62942E+08
    0.88000E+01,    0.41490E+02,    0.85559E+08
    0.91000E+01,    0.42220E+02,    0.82013E+08
    0.91900E+01,    0.42700E+02,    0.78903E+08
    0.79400E+01,    0.41300E+02,    0.77757E+08
    0.82100E+01,    0.41030E+02,    0.83050E+08
    0.81900E+01,    0.41510E+02,    0.77909E+08
    0.84000E+01,    0.41350E+02,    0.81536E+08
    0.76200E+01,    0.41030E+02,    0.77871E+08
    0.79200E+01,    0.40850E+02,    0.81998E+08
    0.66700E+01,    0.40920E+02,    0.75242E+08
    0.65100E+01,    0.41170E+02,    0.71858E+08
