 X,    Y,   COH  
    0.11800E+02,    0.23850E+02,    0.61260E+02
    0.11790E+02,    0.21860E+02,    0.61015E+02
    0.11590E+02,    0.20030E+02,    0.60842E+02
    0.11700E+02,    0.25640E+02,    0.61583E+02
    0.19340E+02,    0.21200E+02,    0.60429E+02
    0.19370E+02,    0.24380E+02,    0.60452E+02
    0.28680E+02,    0.21890E+02,    0.60117E+02
    0.28620E+02,    0.24750E+02,    0.60053E+02
    0.25570E+02,    0.21430E+02,    0.60168E+02
    0.25430E+02,    0.24670E+02,    0.60105E+02
    0.31200E+02,    0.24570E+02,    0.60018E+02
    0.31270E+02,    0.22130E+02,    0.60016E+02
    0.21730E+02,    0.30150E+02,    0.60020E+02
    0.22180E+02,    0.32500E+02,    0.59813E+02
    0.22100E+02,    0.34270E+02,    0.59622E+02
    0.21910E+02,    0.36000E+02,    0.59379E+02
    0.21590E+02,    0.37610E+02,    0.59085E+02
    0.21910E+02,    0.39010E+02,    0.58828E+02
    0.21970E+02,    0.40130E+02,    0.58597E+02
    0.22010E+02,    0.41260E+02,    0.58363E+02
    0.22070E+02,    0.42370E+02,    0.58141E+02
    0.22230E+02,    0.43470E+02,    0.57977E+02
    0.22330E+02,    0.44480E+02,    0.57834E+02
    0.22380E+02,    0.45480E+02,    0.57707E+02
    0.22430E+02,    0.46440E+02,    0.57633E+02
    0.13140E+02,    0.29970E+02,    0.61556E+02
    0.13180E+02,    0.31490E+02,    0.61599E+02
    0.13290E+02,    0.32770E+02,    0.61585E+02
    0.13340E+02,    0.34040E+02,    0.61481E+02
    0.13400E+02,    0.35300E+02,    0.61281E+02
    0.13380E+02,    0.36470E+02,    0.61002E+02
    0.13350E+02,    0.37490E+02,    0.60656E+02
    0.13350E+02,    0.38440E+02,    0.60170E+02
    0.13390E+02,    0.39340E+02,    0.59538E+02
    0.13410E+02,    0.40200E+02,    0.58831E+02
    0.13440E+02,    0.41040E+02,    0.58019E+02
    0.13440E+02,    0.41830E+02,    0.57180E+02
    0.13420E+02,    0.42590E+02,    0.56299E+02
    0.13350E+02,    0.43400E+02,    0.55320E+02
    0.13610E+02,    0.44110E+02,    0.54530E+02
    0.13720E+02,    0.44760E+02,    0.53879E+02
    0.13760E+02,    0.45400E+02,    0.53304E+02
    0.13780E+02,    0.46040E+02,    0.52867E+02
    0.13760E+02,    0.46650E+02,    0.52613E+02
    0.13730E+02,    0.47220E+02,    0.52573E+02
    0.13710E+02,    0.47760E+02,    0.52743E+02
    0.38000E+01,    0.34200E+02,    0.73169E+02
    0.55100E+01,    0.34260E+02,    0.70580E+02
    0.70600E+01,    0.34350E+02,    0.68317E+02
    0.84200E+01,    0.34260E+02,    0.66132E+02
    0.97000E+01,    0.34120E+02,    0.64372E+02
    0.10910E+02,    0.34010E+02,    0.63172E+02
    0.12140E+02,    0.34030E+02,    0.62241E+02
    0.98000E+01,    0.35450E+02,    0.64729E+02
    0.99800E+01,    0.36650E+02,    0.64703E+02
    0.10130E+02,    0.37780E+02,    0.64344E+02
    0.10390E+02,    0.38680E+02,    0.63719E+02
    0.10470E+02,    0.39540E+02,    0.63237E+02
    0.10540E+02,    0.40430E+02,    0.62505E+02
    0.10640E+02,    0.41300E+02,    0.61598E+02
    0.10770E+02,    0.42240E+02,    0.60410E+02
    0.10490E+02,    0.43030E+02,    0.62593E+02
    0.10420E+02,    0.43750E+02,    0.65281E+02
    0.10450E+02,    0.44420E+02,    0.68783E+02
    0.10480E+02,    0.45050E+02,    0.74173E+02
    0.10400E+02,    0.45730E+02,    0.84451E+02
    0.10600E+02,    0.46390E+02,    0.86746E+02
    0.10730E+02,    0.46980E+02,    0.88749E+02
    0.10840E+02,    0.47530E+02,    0.89955E+02
    0.10920E+02,    0.48070E+02,    0.91064E+02
    0.38400E+01,    0.36110E+02,    0.83049E+02
    0.54900E+01,    0.36010E+02,    0.75587E+02
    0.71500E+01,    0.36130E+02,    0.70429E+02
    0.85600E+01,    0.35670E+02,    0.66793E+02
    0.27100E+01,    0.39050E+02,    0.19511E+03
    0.40500E+01,    0.39230E+02,    0.15491E+03
    0.54400E+01,    0.39060E+02,    0.10731E+03
    0.65800E+01,    0.38860E+02,    0.85486E+02
    0.75600E+01,    0.39030E+02,    0.76923E+02
    0.85200E+01,    0.39470E+02,    0.70761E+02
    0.95500E+01,    0.39590E+02,    0.66119E+02
    0.99100E+01,    0.45060E+02,    0.95898E+02
    0.95900E+01,    0.40500E+02,    0.65934E+02
    0.97100E+01,    0.41380E+02,    0.65770E+02
    0.98000E+01,    0.42210E+02,    0.66705E+02
    0.96500E+01,    0.43000E+02,    0.73065E+02
    0.96100E+01,    0.43790E+02,    0.82578E+02
    0.98000E+01,    0.44500E+02,    0.88870E+02
    0.52000E+01,    0.39950E+02,    0.15025E+03
    0.57900E+01,    0.40260E+02,    0.14123E+03
    0.64800E+01,    0.40540E+02,    0.12173E+03
    0.72700E+01,    0.40590E+02,    0.96835E+02
    0.79300E+01,    0.40490E+02,    0.81838E+02
    0.86100E+01,    0.40600E+02,    0.73482E+02
    0.91300E+01,    0.43240E+02,    0.91476E+02
    0.87900E+01,    0.43490E+02,    0.11695E+03
    0.67500E+01,    0.41390E+02,    0.15135E+03
    0.70100E+01,    0.41070E+02,    0.11991E+03
    0.73600E+01,    0.41350E+02,    0.11464E+03
    0.77400E+01,    0.41640E+02,    0.10778E+03
    0.82300E+01,    0.41890E+02,    0.94311E+02
    0.85900E+01,    0.42440E+02,    0.94618E+02
    0.88600E+01,    0.42890E+02,    0.94918E+02
    0.78400E+01,    0.42330E+02,    0.12914E+03
    0.74500E+01,    0.42000E+02,    0.13926E+03
    0.70800E+01,    0.41690E+02,    0.14702E+03
    0.81900E+01,    0.42750E+02,    0.12582E+03
    0.85000E+01,    0.43140E+02,    0.12247E+03
    0.88000E+01,    0.41490E+02,    0.75757E+02
    0.91000E+01,    0.42220E+02,    0.77021E+02
    0.91900E+01,    0.42700E+02,    0.81328E+02
    0.79400E+01,    0.41300E+02,    0.92446E+02
    0.82100E+01,    0.41030E+02,    0.82235E+02
    0.81900E+01,    0.41510E+02,    0.89838E+02
    0.84000E+01,    0.41350E+02,    0.82800E+02
    0.76200E+01,    0.41030E+02,    0.96866E+02
    0.79200E+01,    0.40850E+02,    0.86259E+02
    0.66700E+01,    0.40920E+02,    0.13194E+03
    0.65100E+01,    0.41170E+02,    0.15518E+03
    0.89900E+01,    0.43740E+02,    0.11499E+03
    0.92500E+01,    0.43600E+02,    0.96122E+02
    0.65800E+01,    0.39720E+02,    0.96725E+02
    0.73300E+01,    0.39820E+02,    0.84905E+02
    0.79200E+01,    0.39930E+02,    0.78039E+02
    0.59300E+01,    0.39690E+02,    0.11444E+03
    0.45800E+01,    0.39850E+02,    0.17829E+03
    0.99700E+01,    0.45490E+02,    0.10405E+03
    0.35500E+01,    0.39610E+02,    0.20307E+03
    0.31000E+01,    0.39530E+02,    0.21699E+03
    0.21900E+01,    0.39330E+02,    0.22627E+03
    0.17500E+01,    0.39220E+02,    0.22666E+03
    0.54300E+01,    0.37590E+02,    0.85160E+02
    0.89900E+01,    0.38180E+02,    0.67274E+02
    0.78000E+01,    0.37960E+02,    0.71982E+02
    0.67400E+01,    0.37630E+02,    0.76297E+02
    0.88600E+01,    0.36880E+02,    0.66989E+02
    0.79400E+01,    0.36980E+02,    0.69771E+02
    0.96400E+01,    0.38820E+02,    0.65827E+02
    0.40700E+01,    0.37660E+02,    0.96670E+02
    0.29300E+01,    0.37760E+02,    0.11566E+03
    0.11480E+02,    0.40330E+02,    0.60584E+02
    0.12450E+02,    0.40260E+02,    0.59451E+02
    0.11120E+02,    0.44380E+02,    0.60117E+02
    0.11760E+02,    0.44340E+02,    0.56515E+02
    0.12400E+02,    0.44310E+02,    0.55012E+02
    0.12990E+02,    0.44260E+02,    0.54490E+02
    0.11230E+02,    0.46270E+02,    0.66689E+02
    0.11870E+02,    0.46170E+02,    0.57943E+02
    0.12490E+02,    0.46100E+02,    0.54473E+02
    0.13130E+02,    0.46060E+02,    0.53139E+02
    0.11400E+02,    0.47430E+02,    0.71040E+02
    0.11980E+02,    0.47340E+02,    0.60622E+02
    0.12560E+02,    0.47270E+02,    0.55590E+02
    0.13140E+02,    0.47230E+02,    0.53371E+02
    0.12040E+02,    0.47890E+02,    0.62024E+02
    0.12590E+02,    0.47820E+02,    0.56523E+02
    0.13150E+02,    0.47780E+02,    0.53837E+02
    0.11480E+02,    0.47970E+02,    0.72533E+02
    0.11920E+02,    0.46770E+02,    0.59270E+02
    0.12530E+02,    0.46700E+02,    0.54858E+02
    0.13140E+02,    0.46660E+02,    0.53125E+02
    0.11330E+02,    0.46860E+02,    0.68719E+02
    0.11790E+02,    0.44940E+02,    0.56564E+02
    0.11810E+02,    0.45560E+02,    0.57162E+02
    0.11130E+02,    0.45000E+02,    0.61789E+02
    0.11150E+02,    0.45640E+02,    0.64190E+02
    0.13060E+02,    0.44830E+02,    0.53897E+02
    0.12420E+02,    0.44890E+02,    0.54596E+02
    0.13100E+02,    0.45440E+02,    0.53435E+02
    0.12460E+02,    0.45490E+02,    0.54356E+02
    0.11570E+02,    0.41180E+02,    0.59523E+02
    0.11670E+02,    0.41960E+02,    0.58414E+02
    0.11830E+02,    0.42590E+02,    0.57546E+02
    0.11820E+02,    0.43180E+02,    0.57013E+02
    0.11780E+02,    0.43760E+02,    0.56624E+02
    0.11110E+02,    0.43760E+02,    0.59283E+02
    0.11180E+02,    0.43160E+02,    0.58803E+02
