 X,    Y,   CH  
    0.80000E+01,    0.19890E+02,    0.59715E+02
    0.16450E+02,    0.21410E+02,    0.63801E+02
    0.16480E+02,    0.24370E+02,    0.64138E+02
    0.13810E+02,    0.24260E+02,    0.62851E+02
    0.13760E+02,    0.21450E+02,    0.62466E+02
    0.11800E+02,    0.23850E+02,    0.61577E+02
    0.11790E+02,    0.21860E+02,    0.61083E+02
    0.11590E+02,    0.20030E+02,    0.60742E+02
    0.11700E+02,    0.25640E+02,    0.62013E+02
    0.19340E+02,    0.21200E+02,    0.63907E+02
    0.19370E+02,    0.24380E+02,    0.64085E+02
    0.28680E+02,    0.21890E+02,    0.61680E+02
    0.28620E+02,    0.24750E+02,    0.61571E+02
    0.25570E+02,    0.21430E+02,    0.62332E+02
    0.25430E+02,    0.24670E+02,    0.62233E+02
    0.31200E+02,    0.24570E+02,    0.61226E+02
    0.31270E+02,    0.22130E+02,    0.61335E+02
    0.21730E+02,    0.30150E+02,    0.62085E+02
    0.22180E+02,    0.32500E+02,    0.61084E+02
    0.22100E+02,    0.34270E+02,    0.60626E+02
    0.21910E+02,    0.36000E+02,    0.60129E+02
    0.21590E+02,    0.37610E+02,    0.59653E+02
    0.21910E+02,    0.39010E+02,    0.59182E+02
    0.21970E+02,    0.40130E+02,    0.58876E+02
    0.22010E+02,    0.41260E+02,    0.58557E+02
    0.22070E+02,    0.42370E+02,    0.58263E+02
    0.22230E+02,    0.43470E+02,    0.58006E+02
    0.22330E+02,    0.44480E+02,    0.57807E+02
    0.22380E+02,    0.45480E+02,    0.57624E+02
    0.22430E+02,    0.46440E+02,    0.57473E+02
    0.13140E+02,    0.29970E+02,    0.61123E+02
    0.13180E+02,    0.31490E+02,    0.60588E+02
    0.13290E+02,    0.32770E+02,    0.60434E+02
    0.13340E+02,    0.34040E+02,    0.60244E+02
    0.13400E+02,    0.35300E+02,    0.60202E+02
    0.13380E+02,    0.36470E+02,    0.60291E+02
    0.13350E+02,    0.37490E+02,    0.60579E+02
    0.13350E+02,    0.38440E+02,    0.61141E+02
    0.13390E+02,    0.39340E+02,    0.61988E+02
    0.13410E+02,    0.40200E+02,    0.63109E+02
    0.13440E+02,    0.41040E+02,    0.64601E+02
    0.13440E+02,    0.41830E+02,    0.66534E+02
    0.13420E+02,    0.42590E+02,    0.69022E+02
    0.13350E+02,    0.43400E+02,    0.72493E+02
    0.13610E+02,    0.44110E+02,    0.73954E+02
    0.13720E+02,    0.44760E+02,    0.74979E+02
    0.13760E+02,    0.45400E+02,    0.76663E+02
    0.13780E+02,    0.46040E+02,    0.78347E+02
    0.13760E+02,    0.46650E+02,    0.80342E+02
    0.13730E+02,    0.47220E+02,    0.82162E+02
    0.13710E+02,    0.47760E+02,    0.82641E+02
    0.38000E+01,    0.34200E+02,    0.47519E+03
    0.55100E+01,    0.34260E+02,    0.26988E+03
    0.70600E+01,    0.34350E+02,    0.14421E+03
    0.84200E+01,    0.34260E+02,    0.85935E+02
    0.97000E+01,    0.34120E+02,    0.65222E+02
    0.10910E+02,    0.34010E+02,    0.59382E+02
    0.12140E+02,    0.34030E+02,    0.59070E+02
    0.98000E+01,    0.35450E+02,    0.62290E+02
    0.99800E+01,    0.36650E+02,    0.58795E+02
    0.10130E+02,    0.37780E+02,    0.56550E+02
    0.10390E+02,    0.38680E+02,    0.56116E+02
    0.10470E+02,    0.39540E+02,    0.57211E+02
    0.10540E+02,    0.40430E+02,    0.60212E+02
    0.10640E+02,    0.41300E+02,    0.65576E+02
    0.10770E+02,    0.42240E+02,    0.74552E+02
    0.10490E+02,    0.43030E+02,    0.87833E+02
    0.10420E+02,    0.43750E+02,    0.10485E+03
    0.10450E+02,    0.44420E+02,    0.12727E+03
    0.10480E+02,    0.45050E+02,    0.15477E+03
    0.10400E+02,    0.45730E+02,    0.19325E+03
    0.10600E+02,    0.46390E+02,    0.25538E+03
    0.10730E+02,    0.46980E+02,    0.31659E+03
    0.10840E+02,    0.47530E+02,    0.38285E+03
    0.10920E+02,    0.48070E+02,    0.45676E+03
    0.38400E+01,    0.36110E+02,    0.71127E+03
    0.54900E+01,    0.36010E+02,    0.34177E+03
    0.71500E+01,    0.36130E+02,    0.13909E+03
    0.85600E+01,    0.35670E+02,    0.80569E+02
    0.27100E+01,    0.39050E+02,    0.29086E+04
    0.40500E+01,    0.39230E+02,    0.12674E+04
    0.54400E+01,    0.39060E+02,    0.43158E+03
    0.65800E+01,    0.38860E+02,    0.18833E+03
    0.75600E+01,    0.39030E+02,    0.94213E+02
    0.85200E+01,    0.39470E+02,    0.58353E+02
    0.95500E+01,    0.39590E+02,    0.54324E+02
    0.99100E+01,    0.45060E+02,    0.15118E+03
    0.95900E+01,    0.40500E+02,    0.55705E+02
    0.97100E+01,    0.41380E+02,    0.60375E+02
    0.98000E+01,    0.42210E+02,    0.68498E+02
    0.96500E+01,    0.43000E+02,    0.76449E+02
    0.96100E+01,    0.43790E+02,    0.93191E+02
    0.98000E+01,    0.44500E+02,    0.12256E+03
    0.52000E+01,    0.39950E+02,    0.56290E+03
    0.57900E+01,    0.40260E+02,    0.29228E+03
    0.64800E+01,    0.40540E+02,    0.13784E+03
    0.72700E+01,    0.40590E+02,    0.75737E+02
    0.79300E+01,    0.40490E+02,    0.59526E+02
    0.86100E+01,    0.40600E+02,    0.52373E+02
    0.91300E+01,    0.43240E+02,    0.73782E+02
    0.87900E+01,    0.43490E+02,    0.70409E+02
    0.67500E+01,    0.41390E+02,    0.76935E+02
    0.70100E+01,    0.41070E+02,    0.76915E+02
    0.73600E+01,    0.41350E+02,    0.57519E+02
    0.77400E+01,    0.41640E+02,    0.49369E+02
    0.82300E+01,    0.41890E+02,    0.49327E+02
    0.85900E+01,    0.42440E+02,    0.55574E+02
    0.88600E+01,    0.42890E+02,    0.63972E+02
    0.78400E+01,    0.42330E+02,    0.46423E+02
    0.74500E+01,    0.42000E+02,    0.46721E+02
    0.70800E+01,    0.41690E+02,    0.56035E+02
    0.81900E+01,    0.42750E+02,    0.51527E+02
    0.85000E+01,    0.43140E+02,    0.59930E+02
    0.88000E+01,    0.41490E+02,    0.52707E+02
    0.91000E+01,    0.42220E+02,    0.60830E+02
    0.91900E+01,    0.42700E+02,    0.67462E+02
    0.79400E+01,    0.41300E+02,    0.51958E+02
    0.82100E+01,    0.41030E+02,    0.52926E+02
    0.81900E+01,    0.41510E+02,    0.50477E+02
    0.84000E+01,    0.41350E+02,    0.51117E+02
    0.76200E+01,    0.41030E+02,    0.58166E+02
    0.79200E+01,    0.40850E+02,    0.56852E+02
    0.66700E+01,    0.40920E+02,    0.10233E+03
    0.65100E+01,    0.41170E+02,    0.10208E+03
    0.89900E+01,    0.43740E+02,    0.79168E+02
    0.92500E+01,    0.43600E+02,    0.82364E+02
    0.65800E+01,    0.39720E+02,    0.17068E+03
    0.73300E+01,    0.39820E+02,    0.94040E+02
    0.79200E+01,    0.39930E+02,    0.67970E+02
    0.59300E+01,    0.39690E+02,    0.30074E+03
    0.45800E+01,    0.39850E+02,    0.10059E+04
    0.99700E+01,    0.45490E+02,    0.17800E+03
    0.35500E+01,    0.39610E+02,    0.22673E+04
    0.31000E+01,    0.39530E+02,    0.31022E+04
    0.21900E+01,    0.39330E+02,    0.46419E+04
    0.17500E+01,    0.39220E+02,    0.52536E+04
    0.54300E+01,    0.37590E+02,    0.42185E+03
    0.89900E+01,    0.38180E+02,    0.60123E+02
    0.78000E+01,    0.37960E+02,    0.93815E+02
    0.67400E+01,    0.37630E+02,    0.18058E+03
    0.88600E+01,    0.36880E+02,    0.70615E+02
    0.79400E+01,    0.36980E+02,    0.99755E+02
