 X,    Y,   CCL  
    0.13810E+02,    0.24260E+02,    0.96983E+08
    0.13760E+02,    0.21450E+02,    0.96881E+08
    0.11800E+02,    0.23850E+02,    0.97349E+08
    0.11790E+02,    0.21860E+02,    0.97124E+08
    0.11590E+02,    0.20030E+02,    0.96955E+08
    0.11700E+02,    0.25640E+02,    0.97763E+08
    0.19340E+02,    0.21200E+02,    0.96500E+08
    0.19370E+02,    0.24380E+02,    0.96483E+08
    0.28680E+02,    0.21890E+02,    0.96250E+08
    0.28620E+02,    0.24750E+02,    0.96138E+08
    0.25570E+02,    0.21430E+02,    0.96272E+08
    0.25430E+02,    0.24670E+02,    0.96173E+08
    0.31200E+02,    0.24570E+02,    0.96130E+08
    0.31270E+02,    0.22130E+02,    0.96132E+08
    0.21730E+02,    0.30150E+02,    0.96024E+08
    0.22180E+02,    0.32500E+02,    0.95793E+08
    0.22100E+02,    0.34270E+02,    0.95569E+08
    0.21910E+02,    0.36000E+02,    0.95281E+08
    0.21590E+02,    0.37610E+02,    0.95039E+08
    0.21910E+02,    0.39010E+02,    0.94791E+08
    0.21970E+02,    0.40130E+02,    0.94574E+08
    0.22010E+02,    0.41260E+02,    0.94384E+08
    0.22070E+02,    0.42370E+02,    0.94243E+08
    0.22230E+02,    0.43470E+02,    0.94206E+08
    0.22330E+02,    0.44480E+02,    0.94185E+08
    0.22380E+02,    0.45480E+02,    0.94196E+08
    0.22430E+02,    0.46440E+02,    0.94290E+08
    0.13140E+02,    0.29970E+02,    0.97334E+08
    0.13180E+02,    0.31490E+02,    0.97269E+08
    0.13290E+02,    0.32770E+02,    0.97188E+08
    0.13340E+02,    0.34040E+02,    0.96960E+08
    0.13400E+02,    0.35300E+02,    0.96602E+08
    0.13380E+02,    0.36470E+02,    0.96115E+08
    0.13350E+02,    0.37490E+02,    0.95543E+08
    0.13350E+02,    0.38440E+02,    0.94797E+08
    0.13390E+02,    0.39340E+02,    0.93878E+08
    0.13410E+02,    0.40200E+02,    0.92863E+08
    0.13440E+02,    0.41040E+02,    0.91731E+08
    0.13440E+02,    0.41830E+02,    0.90552E+08
    0.13420E+02,    0.42590E+02,    0.89285E+08
    0.13350E+02,    0.43400E+02,    0.87927E+08
    0.13610E+02,    0.44110E+02,    0.87056E+08
    0.13720E+02,    0.44760E+02,    0.86297E+08
    0.13760E+02,    0.45400E+02,    0.85553E+08
    0.13780E+02,    0.46040E+02,    0.84955E+08
    0.13760E+02,    0.46650E+02,    0.84495E+08
    0.13730E+02,    0.47220E+02,    0.84240E+08
    0.13710E+02,    0.47760E+02,    0.84293E+08
    0.38000E+01,    0.34200E+02,    0.11036E+09
    0.55100E+01,    0.34260E+02,    0.10695E+09
    0.70600E+01,    0.34350E+02,    0.10445E+09
    0.84200E+01,    0.34260E+02,    0.10193E+09
    0.97000E+01,    0.34120E+02,    0.99942E+08
    0.10910E+02,    0.34010E+02,    0.98656E+08
    0.12140E+02,    0.34030E+02,    0.97716E+08
    0.98000E+01,    0.35450E+02,    0.10007E+09
    0.99800E+01,    0.36650E+02,    0.99686E+08
    0.10130E+02,    0.37780E+02,    0.98713E+08
    0.10390E+02,    0.38680E+02,    0.97533E+08
    0.10470E+02,    0.39540E+02,    0.96279E+08
    0.10540E+02,    0.40430E+02,    0.94441E+08
    0.10640E+02,    0.41300E+02,    0.92006E+08
    0.10770E+02,    0.42240E+02,    0.89008E+08
    0.10490E+02,    0.43030E+02,    0.85488E+08
    0.10420E+02,    0.43750E+02,    0.82399E+08
    0.10450E+02,    0.44420E+02,    0.80342E+08
    0.10480E+02,    0.45050E+02,    0.79726E+08
    0.10400E+02,    0.45730E+02,    0.81443E+08
    0.10600E+02,    0.46390E+02,    0.84338E+08
    0.10730E+02,    0.46980E+02,    0.87441E+08
    0.10840E+02,    0.47530E+02,    0.90464E+08
    0.10920E+02,    0.48070E+02,    0.93512E+08
    0.38400E+01,    0.36110E+02,    0.11873E+09
    0.54900E+01,    0.36010E+02,    0.11165E+09
    0.71500E+01,    0.36130E+02,    0.10558E+09
    0.85600E+01,    0.35670E+02,    0.10219E+09
    0.27100E+01,    0.39050E+02,    0.94618E+08
    0.40500E+01,    0.39230E+02,    0.10649E+09
    0.54400E+01,    0.39060E+02,    0.11336E+09
    0.65800E+01,    0.38860E+02,    0.11009E+09
    0.75600E+01,    0.39030E+02,    0.10580E+09
    0.85200E+01,    0.39470E+02,    0.10098E+09
    0.95500E+01,    0.39590E+02,    0.98125E+08
    0.99100E+01,    0.45060E+02,    0.80336E+08
    0.95900E+01,    0.40500E+02,    0.95631E+08
    0.97100E+01,    0.41380E+02,    0.92253E+08
    0.98000E+01,    0.42210E+02,    0.88371E+08
    0.96500E+01,    0.43000E+02,    0.83715E+08
    0.96100E+01,    0.43790E+02,    0.79344E+08
    0.98000E+01,    0.44500E+02,    0.78669E+08
    0.52000E+01,    0.39950E+02,    0.94479E+08
    0.57900E+01,    0.40260E+02,    0.93159E+08
    0.64800E+01,    0.40540E+02,    0.94207E+08
    0.72700E+01,    0.40590E+02,    0.96980E+08
    0.79300E+01,    0.40490E+02,    0.98307E+08
    0.86100E+01,    0.40600E+02,    0.96918E+08
    0.91300E+01,    0.43240E+02,    0.78993E+08
    0.87900E+01,    0.43490E+02,    0.73162E+08
    0.67500E+01,    0.41390E+02,    0.72963E+08
    0.70100E+01,    0.41070E+02,    0.86843E+08
    0.73600E+01,    0.41350E+02,    0.85133E+08
    0.77400E+01,    0.41640E+02,    0.84113E+08
    0.82300E+01,    0.41890E+02,    0.85403E+08
    0.85900E+01,    0.42440E+02,    0.81432E+08
    0.88600E+01,    0.42890E+02,    0.79278E+08
    0.78400E+01,    0.42330E+02,    0.71536E+08
    0.74500E+01,    0.42000E+02,    0.70454E+08
    0.70800E+01,    0.41690E+02,    0.70685E+08
    0.81900E+01,    0.42750E+02,    0.70767E+08
    0.85000E+01,    0.43140E+02,    0.71512E+08
    0.88000E+01,    0.41490E+02,    0.91719E+08
    0.91000E+01,    0.42220E+02,    0.86897E+08
    0.91900E+01,    0.42700E+02,    0.83468E+08
    0.79400E+01,    0.41300E+02,    0.90725E+08
    0.82100E+01,    0.41030E+02,    0.94380E+08
    0.81900E+01,    0.41510E+02,    0.89339E+08
    0.84000E+01,    0.41350E+02,    0.91930E+08
    0.76200E+01,    0.41030E+02,    0.92573E+08
    0.79200E+01,    0.40850E+02,    0.95463E+08
    0.66700E+01,    0.40920E+02,    0.85454E+08
    0.65100E+01,    0.41170E+02,    0.74427E+08
    0.89900E+01,    0.43740E+02,    0.74490E+08
    0.92500E+01,    0.43600E+02,    0.77900E+08
    0.65800E+01,    0.39720E+02,    0.10609E+09
    0.73300E+01,    0.39820E+02,    0.10406E+09
    0.79200E+01,    0.39930E+02,    0.10149E+09
    0.59300E+01,    0.39690E+02,    0.10564E+09
    0.45800E+01,    0.39850E+02,    0.84593E+08
    0.99700E+01,    0.45490E+02,    0.83790E+08
    0.35500E+01,    0.39610E+02,    0.69295E+08
    0.31000E+01,    0.39530E+02,    0.58866E+08
    0.21900E+01,    0.39330E+02,    0.53379E+08
    0.17500E+01,    0.39220E+02,    0.55214E+08
    0.54300E+01,    0.37590E+02,    0.11759E+09
    0.89900E+01,    0.38180E+02,    0.10110E+09
    0.78000E+01,    0.37960E+02,    0.10563E+09
    0.67400E+01,    0.37630E+02,    0.10988E+09
    0.88600E+01,    0.36880E+02,    0.10184E+09
    0.79400E+01,    0.36980E+02,    0.10467E+09
    0.96400E+01,    0.38820E+02,    0.99189E+08
    0.40700E+01,    0.37660E+02,    0.12553E+09
    0.29300E+01,    0.37760E+02,    0.12845E+09
    0.11480E+02,    0.40330E+02,    0.93546E+08
    0.12450E+02,    0.40260E+02,    0.93028E+08
    0.11120E+02,    0.44380E+02,    0.82008E+08
    0.11760E+02,    0.44340E+02,    0.83453E+08
    0.12400E+02,    0.44310E+02,    0.84756E+08
    0.12990E+02,    0.44260E+02,    0.85834E+08
    0.11230E+02,    0.46270E+02,    0.80448E+08
    0.11870E+02,    0.46170E+02,    0.80596E+08
    0.12490E+02,    0.46100E+02,    0.81888E+08
    0.13130E+02,    0.46060E+02,    0.83424E+08
    0.11400E+02,    0.47430E+02,    0.83600E+08
    0.11980E+02,    0.47340E+02,    0.81534E+08
    0.12560E+02,    0.47270E+02,    0.81769E+08
    0.13140E+02,    0.47230E+02,    0.82866E+08
    0.12040E+02,    0.47890E+02,    0.82718E+08
    0.12590E+02,    0.47820E+02,    0.82329E+08
    0.13150E+02,    0.47780E+02,    0.83089E+08
    0.11480E+02,    0.47970E+02,    0.85568E+08
    0.11920E+02,    0.46770E+02,    0.80794E+08
    0.12530E+02,    0.46700E+02,    0.81607E+08
    0.13140E+02,    0.46660E+02,    0.83003E+08
    0.11330E+02,    0.46860E+02,    0.81714E+08
    0.11790E+02,    0.44940E+02,    0.82075E+08
    0.11810E+02,    0.45560E+02,    0.81046E+08
    0.11130E+02,    0.45000E+02,    0.80575E+08
    0.11150E+02,    0.45640E+02,    0.79915E+08
    0.13060E+02,    0.44830E+02,    0.84946E+08
    0.12420E+02,    0.44890E+02,    0.83561E+08
    0.13100E+02,    0.45440E+02,    0.84106E+08
    0.12460E+02,    0.45490E+02,    0.82577E+08
    0.11570E+02,    0.41180E+02,    0.91736E+08
    0.11670E+02,    0.41960E+02,    0.89785E+08
    0.11830E+02,    0.42590E+02,    0.88290E+08
    0.11820E+02,    0.43180E+02,    0.86745E+08
    0.11780E+02,    0.43760E+02,    0.85047E+08
    0.11110E+02,    0.43760E+02,    0.83886E+08
    0.11180E+02,    0.43160E+02,    0.86012E+08
