 X,    Y,   V  
    0.97100E+01,    0.41380E+02,    0.19759E+01
    0.98000E+01,    0.42210E+02,    0.20165E+01
    0.96500E+01,    0.43000E+02,    0.20520E+01
    0.96100E+01,    0.43790E+02,    0.20912E+01
    0.98000E+01,    0.44500E+02,    0.21331E+01
    0.52000E+01,    0.39950E+02,    0.18333E+01
    0.57900E+01,    0.40260E+02,    0.18542E+01
    0.64800E+01,    0.40540E+02,    0.18784E+01
    0.72700E+01,    0.40590E+02,    0.18971E+01
    0.79300E+01,    0.40490E+02,    0.19061E+01
    0.86100E+01,    0.40600E+02,    0.19226E+01
    0.91300E+01,    0.43240E+02,    0.20527E+01
    0.87900E+01,    0.43490E+02,    0.20565E+01
    0.67500E+01,    0.41390E+02,    0.19135E+01
    0.70100E+01,    0.41070E+02,    0.19089E+01
    0.73600E+01,    0.41350E+02,    0.19275E+01
    0.77400E+01,    0.41640E+02,    0.19480E+01
    0.82300E+01,    0.41890E+02,    0.19700E+01
    0.85900E+01,    0.42440E+02,    0.20024E+01
    0.88600E+01,    0.42890E+02,    0.20294E+01
    0.78400E+01,    0.42330E+02,    0.19786E+01
    0.74500E+01,    0.42000E+02,    0.19547E+01
    0.70800E+01,    0.41690E+02,    0.19330E+01
    0.81900E+01,    0.42750E+02,    0.20061E+01
    0.85000E+01,    0.43140E+02,    0.20321E+01
    0.88000E+01,    0.41490E+02,    0.19647E+01
    0.91000E+01,    0.42220E+02,    0.20036E+01
    0.91900E+01,    0.42700E+02,    0.20279E+01
    0.79400E+01,    0.41300E+02,    0.19389E+01
    0.82100E+01,    0.41030E+02,    0.19335E+01
    0.81900E+01,    0.41510E+02,    0.19529E+01
    0.84000E+01,    0.41350E+02,    0.19506E+01
    0.76200E+01,    0.41030E+02,    0.19211E+01
    0.79200E+01,    0.40850E+02,    0.19203E+01
    0.66700E+01,    0.40920E+02,    0.18953E+01
    0.65100E+01,    0.41170E+02,    0.18997E+01
    0.89900E+01,    0.43740E+02,    0.20739E+01
    0.92500E+01,    0.43600E+02,    0.20733E+01
    0.65800E+01,    0.39720E+02,    0.18523E+01
    0.73300E+01,    0.39820E+02,    0.18691E+01
    0.79200E+01,    0.39930E+02,    0.18834E+01
    0.59300E+01,    0.39690E+02,    0.18392E+01
    0.45800E+01,    0.39850E+02,    0.18180E+01
    0.99700E+01,    0.45490E+02,    0.21928E+01
    0.35500E+01,    0.39610E+02,    0.17947E+01
    0.31000E+01,    0.39530E+02,    0.17861E+01
    0.21900E+01,    0.39330E+02,    0.17714E+01
    0.17500E+01,    0.39220E+02,    0.17656E+01
    0.54300E+01,    0.37590E+02,    0.17619E+01
    0.89900E+01,    0.38180E+02,    0.18241E+01
    0.78000E+01,    0.37960E+02,    0.18018E+01
    0.67400E+01,    0.37630E+02,    0.17773E+01
    0.88600E+01,    0.36880E+02,    0.17663E+01
    0.79400E+01,    0.36980E+02,    0.17625E+01
    0.96400E+01,    0.38820E+02,    0.18589E+01
    0.40700E+01,    0.37660E+02,    0.17506E+01
    0.29300E+01,    0.37760E+02,    0.17425E+01
    0.11480E+02,    0.40330E+02,    0.19492E+01
    0.12450E+02,    0.40260E+02,    0.19551E+01
    0.11120E+02,    0.44380E+02,    0.21502E+01
    0.11760E+02,    0.44340E+02,    0.21568E+01
    0.12400E+02,    0.44310E+02,    0.21626E+01
    0.12990E+02,    0.44260E+02,    0.21657E+01
    0.11230E+02,    0.46270E+02,    0.22602E+01
    0.11870E+02,    0.46170E+02,    0.22618E+01
    0.12490E+02,    0.46100E+02,    0.22639E+01
    0.13130E+02,    0.46060E+02,    0.22669E+01
    0.11400E+02,    0.47430E+02,    0.23333E+01
    0.11980E+02,    0.47340E+02,    0.23329E+01
    0.12560E+02,    0.47270E+02,    0.23331E+01
    0.13140E+02,    0.47230E+02,    0.23345E+01
    0.12040E+02,    0.47890E+02,    0.23671E+01
    0.12590E+02,    0.47820E+02,    0.23663E+01
    0.13150E+02,    0.47780E+02,    0.23669E+01
    0.11480E+02,    0.47970E+02,    0.23681E+01
    0.11920E+02,    0.46770E+02,    0.22979E+01
    0.12530E+02,    0.46700E+02,    0.22991E+01
    0.13140E+02,    0.46660E+02,    0.23013E+01
    0.11330E+02,    0.46860E+02,    0.22972E+01
    0.11790E+02,    0.44940E+02,    0.21903E+01
    0.11810E+02,    0.45560E+02,    0.22257E+01
    0.11130E+02,    0.45000E+02,    0.21848E+01
    0.11150E+02,    0.45640E+02,    0.22218E+01
    0.13060E+02,    0.44830E+02,    0.21975E+01
    0.12420E+02,    0.44890E+02,    0.21947E+01
    0.13100E+02,    0.45440E+02,    0.22317E+01
    0.12460E+02,    0.45490E+02,    0.22287E+01
    0.11570E+02,    0.41180E+02,    0.19915E+01
    0.11670E+02,    0.41960E+02,    0.20314E+01
    0.11830E+02,    0.42590E+02,    0.20651E+01
    0.11820E+02,    0.43180E+02,    0.20956E+01
    0.11780E+02,    0.43760E+02,    0.21257E+01
    0.11110E+02,    0.43760E+02,    0.21167E+01
    0.11180E+02,    0.43160E+02,    0.20862E+01
