 X,    Y,   CH  
    0.00000E+00,    0.22000E+02,    0.17373E+97
    0.20000E+01,    0.22000E+02,    0.15258E+97
    0.40000E+01,    0.22000E+02,    0.14846E+97
    0.60000E+01,    0.22000E+02,    0.14942E+97
    0.80000E+01,    0.22000E+02,    0.15383E+97
    0.10000E+02,    0.22000E+02,    0.16129E+97
    0.12000E+02,    0.22000E+02,    0.17183E+97
    0.14000E+02,    0.22000E+02,    0.18576E+97
    0.16000E+02,    0.22000E+02,    0.20368E+97
    0.18000E+02,    0.22000E+02,    0.22663E+97
    0.20000E+02,    0.22000E+02,    0.25624E+97
    0.22000E+02,    0.22000E+02,    0.29509E+97
    0.24000E+02,    0.22000E+02,    0.34722E+97
    0.26000E+02,    0.22000E+02,    0.41888E+97
    0.28000E+02,    0.22000E+02,    0.51972E+97
    0.30000E+02,    0.22000E+02,    0.66450E+97
    0.32000E+02,    0.22000E+02,    0.87564E+97
    0.34000E+02,    0.22000E+02,    0.11870E+98
    0.36000E+02,    0.22000E+02,    0.16493E+98
    0.38000E+02,    0.22000E+02,    0.23387E+98
    0.40000E+02,    0.22000E+02,    0.33686E+98
    0.42000E+02,    0.22000E+02,    0.49079E+98
    0.44000E+02,    0.22000E+02,    0.72080E+98
    0.46000E+02,    0.22000E+02,    0.10644E+99
    0.48000E+02,    0.22000E+02,    0.15773E+99
    0.50000E+02,    0.22000E+02,    0.23429E+99
    0.00000E+00,    0.24000E+02,    0.55897E+97
    0.20000E+01,    0.24000E+02,    0.49091E+97
    0.40000E+01,    0.24000E+02,    0.47765E+97
    0.60000E+01,    0.24000E+02,    0.48072E+97
    0.80000E+01,    0.24000E+02,    0.49484E+97
    0.10000E+02,    0.24000E+02,    0.51870E+97
    0.12000E+02,    0.24000E+02,    0.55233E+97
    0.14000E+02,    0.24000E+02,    0.59661E+97
    0.16000E+02,    0.24000E+02,    0.65335E+97
    0.18000E+02,    0.24000E+02,    0.72559E+97
    0.20000E+02,    0.24000E+02,    0.81818E+97
    0.22000E+02,    0.24000E+02,    0.93882E+97
    0.24000E+02,    0.24000E+02,    0.10995E+98
    0.26000E+02,    0.24000E+02,    0.13191E+98
    0.28000E+02,    0.24000E+02,    0.16264E+98
    0.30000E+02,    0.24000E+02,    0.20661E+98
    0.32000E+02,    0.24000E+02,    0.27059E+98
    0.34000E+02,    0.24000E+02,    0.36483E+98
    0.36000E+02,    0.24000E+02,    0.50475E+98
    0.38000E+02,    0.24000E+02,    0.71342E+98
    0.40000E+02,    0.24000E+02,    0.10253E+99
    0.42000E+02,    0.24000E+02,    0.14917E+99
    0.44000E+02,    0.24000E+02,    0.21891E+99
    0.46000E+02,    0.24000E+02,    0.32312E+99
    0.48000E+02,    0.24000E+02,    0.47875E+99
    0.50000E+02,    0.24000E+02,    0.71109E+99
    0.00000E+00,    0.26000E+02,    0.17985E+98
    0.20000E+01,    0.26000E+02,    0.15795E+98
    0.40000E+01,    0.26000E+02,    0.15368E+98
    0.60000E+01,    0.26000E+02,    0.15466E+98
    0.80000E+01,    0.26000E+02,    0.15919E+98
    0.10000E+02,    0.26000E+02,    0.16683E+98
    0.12000E+02,    0.26000E+02,    0.17757E+98
    0.14000E+02,    0.26000E+02,    0.19167E+98
    0.16000E+02,    0.26000E+02,    0.20967E+98
    0.18000E+02,    0.26000E+02,    0.23245E+98
    0.20000E+02,    0.26000E+02,    0.26146E+98
    0.22000E+02,    0.26000E+02,    0.29899E+98
    0.24000E+02,    0.26000E+02,    0.34861E+98
    0.26000E+02,    0.26000E+02,    0.41595E+98
    0.28000E+02,    0.26000E+02,    0.50971E+98
    0.30000E+02,    0.26000E+02,    0.64330E+98
    0.32000E+02,    0.26000E+02,    0.83718E+98
    0.34000E+02,    0.26000E+02,    0.11224E+99
    0.36000E+02,    0.26000E+02,    0.15457E+99
    0.38000E+02,    0.26000E+02,    0.21772E+99
    0.40000E+02,    0.26000E+02,    0.31215E+99
    0.42000E+02,    0.26000E+02,    0.45346E+99
    0.44000E+02,    0.26000E+02,    0.66485E+99
    0.46000E+02,    0.26000E+02,    0.98089E+99
    0.48000E+02,    0.26000E+02,    0.14531+100
    0.50000E+02,    0.26000E+02,    0.21581+100
    0.00000E+00,    0.28000E+02,    0.57865E+98
    0.20000E+01,    0.28000E+02,    0.50820E+98
    0.40000E+01,    0.28000E+02,    0.49447E+98
    0.60000E+01,    0.28000E+02,    0.49761E+98
    0.80000E+01,    0.28000E+02,    0.51215E+98
    0.10000E+02,    0.28000E+02,    0.53663E+98
    0.12000E+02,    0.28000E+02,    0.57099E+98
    0.14000E+02,    0.28000E+02,    0.61596E+98
    0.16000E+02,    0.28000E+02,    0.67311E+98
    0.18000E+02,    0.28000E+02,    0.74509E+98
    0.20000E+02,    0.28000E+02,    0.83618E+98
    0.22000E+02,    0.28000E+02,    0.95314E+98
    0.24000E+02,    0.28000E+02,    0.11067E+99
    0.26000E+02,    0.28000E+02,    0.13135E+99
    0.28000E+02,    0.28000E+02,    0.15998E+99
    0.30000E+02,    0.28000E+02,    0.20058E+99
    0.32000E+02,    0.28000E+02,    0.25934E+99
    0.34000E+02,    0.28000E+02,    0.34566E+99
    0.36000E+02,    0.28000E+02,    0.47371E+99
    0.38000E+02,    0.28000E+02,    0.66476E+99
    0.40000E+02,    0.28000E+02,    0.95060E+99
    0.42000E+02,    0.28000E+02,    0.13786+100
    0.44000E+02,    0.28000E+02,    0.20193+100
    0.46000E+02,    0.28000E+02,    0.29777+100
    0.48000E+02,    0.28000E+02,    0.44101+100
    0.50000E+02,    0.28000E+02,    0.65498+100
    0.00000E+00,    0.30000E+02,    0.18618E+99
    0.20000E+01,    0.30000E+02,    0.16351E+99
    0.40000E+01,    0.30000E+02,    0.15910E+99
    0.60000E+01,    0.30000E+02,    0.16011E+99
    0.80000E+01,    0.30000E+02,    0.16478E+99
    0.10000E+02,    0.30000E+02,    0.17263E+99
    0.12000E+02,    0.30000E+02,    0.18363E+99
    0.14000E+02,    0.30000E+02,    0.19799E+99
    0.16000E+02,    0.30000E+02,    0.21617E+99
    0.18000E+02,    0.30000E+02,    0.23896E+99
    0.20000E+02,    0.30000E+02,    0.26761E+99
    0.22000E+02,    0.30000E+02,    0.30414E+99
    0.24000E+02,    0.30000E+02,    0.35172E+99
    0.26000E+02,    0.30000E+02,    0.41534E+99
    0.28000E+02,    0.30000E+02,    0.50284E+99
    0.30000E+02,    0.30000E+02,    0.62633E+99
    0.32000E+02,    0.30000E+02,    0.80446E+99
    0.34000E+02,    0.30000E+02,    0.10657+100
    0.36000E+02,    0.30000E+02,    0.14529+100
    0.38000E+02,    0.30000E+02,    0.20307+100
    0.40000E+02,    0.30000E+02,    0.28957+100
    0.42000E+02,    0.30000E+02,    0.41918+100
    0.44000E+02,    0.30000E+02,    0.61333+100
    0.46000E+02,    0.30000E+02,    0.90393+100
    0.48000E+02,    0.30000E+02,    0.13385+101
    0.50000E+02,    0.30000E+02,    0.19877+101
    0.00000E+00,    0.32000E+02,    0.59901E+99
    0.20000E+01,    0.32000E+02,    0.52609E+99
    0.40000E+01,    0.32000E+02,    0.51189E+99
    0.60000E+01,    0.32000E+02,    0.51515E+99
    0.80000E+01,    0.32000E+02,    0.53016E+99
    0.10000E+02,    0.32000E+02,    0.55539E+99
    0.12000E+02,    0.32000E+02,    0.59065E+99
    0.14000E+02,    0.32000E+02,    0.63656E+99
    0.16000E+02,    0.32000E+02,    0.69447E+99
    0.18000E+02,    0.32000E+02,    0.76672E+99
    0.20000E+02,    0.32000E+02,    0.85703E+99
    0.22000E+02,    0.32000E+02,    0.97135E+99
    0.24000E+02,    0.32000E+02,    0.11191+100
    0.26000E+02,    0.32000E+02,    0.13151+100
    0.28000E+02,    0.32000E+02,    0.15829+100
    0.30000E+02,    0.32000E+02,    0.19587+100
    0.32000E+02,    0.32000E+02,    0.24988+100
    0.34000E+02,    0.32000E+02,    0.32891+100
    0.36000E+02,    0.32000E+02,    0.44599+100
    0.38000E+02,    0.32000E+02,    0.62070+100
    0.40000E+02,    0.32000E+02,    0.88239+100
    0.42000E+02,    0.32000E+02,    0.12748+101
    0.44000E+02,    0.32000E+02,    0.18630+101
    0.46000E+02,    0.32000E+02,    0.27440+101
    0.48000E+02,    0.32000E+02,    0.40621+101
    0.50000E+02,    0.32000E+02,    0.60322+101
    0.00000E+00,    0.34000E+02,    0.19272+100
    0.20000E+01,    0.34000E+02,    0.16926+100
    0.40000E+01,    0.34000E+02,    0.16470+100
    0.60000E+01,    0.34000E+02,    0.16575+100
    0.80000E+01,    0.34000E+02,    0.17058+100
    0.10000E+02,    0.34000E+02,    0.17869+100
    0.12000E+02,    0.34000E+02,    0.19000+100
    0.14000E+02,    0.34000E+02,    0.20469+100
    0.16000E+02,    0.34000E+02,    0.22317+100
    0.18000E+02,    0.34000E+02,    0.24612+100
    0.20000E+02,    0.34000E+02,    0.27464+100
    0.22000E+02,    0.34000E+02,    0.31049+100
    0.24000E+02,    0.34000E+02,    0.35646+100
    0.26000E+02,    0.34000E+02,    0.41697+100
    0.28000E+02,    0.34000E+02,    0.49900+100
    0.30000E+02,    0.34000E+02,    0.61346+100
    0.32000E+02,    0.34000E+02,    0.77727+100
    0.34000E+02,    0.34000E+02,    0.10164+101
    0.36000E+02,    0.34000E+02,    0.13703+101
    0.38000E+02,    0.34000E+02,    0.18984+101
    0.40000E+02,    0.34000E+02,    0.26898+101
    0.42000E+02,    0.34000E+02,    0.38774+101
    0.44000E+02,    0.34000E+02,    0.56593+101
    0.46000E+02,    0.34000E+02,    0.83298+101
    0.48000E+02,    0.34000E+02,    0.12327+102
    0.50000E+02,    0.34000E+02,    0.18305+102
    0.00000E+00,    0.36000E+02,    0.62005+100
    0.20000E+01,    0.36000E+02,    0.54458+100
    0.40000E+01,    0.36000E+02,    0.52992+100
    0.60000E+01,    0.36000E+02,    0.53333+100
    0.80000E+01,    0.36000E+02,    0.54888+100
    0.10000E+02,    0.36000E+02,    0.57495+100
    0.12000E+02,    0.36000E+02,    0.61126+100
    0.14000E+02,    0.36000E+02,    0.65834+100
    0.16000E+02,    0.36000E+02,    0.71736+100
    0.18000E+02,    0.36000E+02,    0.79037+100
    0.20000E+02,    0.36000E+02,    0.88062+100
    0.22000E+02,    0.36000E+02,    0.99329+100
    0.24000E+02,    0.36000E+02,    0.11366+101
    0.26000E+02,    0.36000E+02,    0.13237+101
    0.28000E+02,    0.36000E+02,    0.15754+101
    0.30000E+02,    0.36000E+02,    0.19243+101
    0.32000E+02,    0.36000E+02,    0.24214+101
    0.34000E+02,    0.36000E+02,    0.31449+101
    0.36000E+02,    0.36000E+02,    0.42143+101
    0.38000E+02,    0.36000E+02,    0.58100+101
    0.40000E+02,    0.36000E+02,    0.82026+101
    0.42000E+02,    0.36000E+02,    0.11796+102
    0.44000E+02,    0.36000E+02,    0.17192+102
    0.46000E+02,    0.36000E+02,    0.25286+102
    0.48000E+02,    0.36000E+02,    0.37409+102
    0.50000E+02,    0.36000E+02,    0.55545+102
    0.00000E+00,    0.38000E+02,    0.19949+101
    0.20000E+01,    0.38000E+02,    0.17521+101
    0.40000E+01,    0.38000E+02,    0.17050+101
    0.60000E+01,    0.38000E+02,    0.17160+101
    0.80000E+01,    0.38000E+02,    0.17661+101
    0.10000E+02,    0.38000E+02,    0.18500+101
    0.12000E+02,    0.38000E+02,    0.19667+101
    0.14000E+02,    0.38000E+02,    0.21176+101
    0.16000E+02,    0.38000E+02,    0.23064+101
    0.18000E+02,    0.38000E+02,    0.25390+101
    0.20000E+02,    0.38000E+02,    0.28251+101
    0.22000E+02,    0.38000E+02,    0.31800+101
    0.24000E+02,    0.38000E+02,    0.36279+101
    0.26000E+02,    0.38000E+02,    0.42077+101
    0.28000E+02,    0.38000E+02,    0.49811+101
    0.30000E+02,    0.38000E+02,    0.60458+101
    0.32000E+02,    0.38000E+02,    0.75546+101
    0.34000E+02,    0.38000E+02,    0.97437+101
    0.36000E+02,    0.38000E+02,    0.12975+102
    0.38000E+02,    0.38000E+02,    0.17794+102
    0.40000E+02,    0.38000E+02,    0.25025+102
