"X","    Y","  V  ","Points:0","Points:1","Points:2"
0.99894,4.6952,0.45757,0.99894,4.6952,0
4.4524,4.9674,0.49672,4.4524,4.9674,0
1.6354,5.1895,0.52089,1.6354,5.1895,0
0.95152,4.593,0.44284,0.95152,4.593,0
0.93144,4.5467,0.43637,0.93144,4.5467,0
1.2797,4.777,0.47322,1.2797,4.777,0
0.90678,4.5026,0.43005,0.90678,4.5026,0
0.89375,4.3587,0.41422,0.89375,4.3587,0
1.8561,4.677,0.46559,1.8561,4.677,0
2.3329,5.0232,0.50241,2.3329,5.0232,0
2.7915,2.8641,0.28443,2.7915,2.8641,0
3.1984,4.5202,0.4514,3.1984,4.5202,0
4.7262,4.7962,0.4795,4.7262,4.7962,0
0.82539,4.3526,0.41004,0.82539,4.3526,0
1.0478,4.6408,0.45227,1.0478,4.6408,0
1.2073,4.4896,0.43885,1.2073,4.4896,0
0.7688,4.2698,0.39942,0.7688,4.2698,0
1.5317,4.5833,0.45372,1.5317,4.5833,0
0.74051,4.2284,0.39445,0.74051,4.2284,0
0.69974,4.2302,0.39223,0.69974,4.2302,0
0.66135,4.1974,0.38762,0.66135,4.1974,0
1.0739,4.3694,0.42232,1.0739,4.3694,0
0.55885,4.0956,0.37567,0.55885,4.0956,0
1.907,3.7896,0.37442,1.907,3.7896,0
1.1343,3.7346,0.36204,1.1343,3.7346,0
3.9623,4.2832,0.4278,3.9623,4.2832,0
0.49356,4.0573,0.3705,0.49356,4.0573,0
0.12475,3.0535,0.2939,0.12475,3.0535,0
1.5651,3.5208,0.34566,1.5651,3.5208,0
0.093563,2.9401,0.28384,0.093563,2.9401,0
0.062375,2.8767,0.27813,0.062375,2.8767,0
0.34119,3.239,0.31046,0.34119,3.239,0
0.84113,3.8738,0.36926,0.84113,3.8738,0
0.23297,3.1463,0.30216,0.23297,3.1463,0
0.38848,3.9598,0.3618,0.38848,3.9598,0
0.46823,3.9864,0.3659,0.46823,3.9864,0
0.73353,3.4057,0.32755,0.73353,3.4057,0
0.32792,3.9425,0.3592,0.32792,3.9425,0
0.2889,3.9871,0.35969,0.2889,3.9871,0
0.23402,3.9728,0.35771,0.23402,3.9728,0
0.11726,3.5831,0.33627,0.11726,3.5831,0
0.35979,3.6939,0.34588,0.35979,3.6939,0
0.058633,3.5228,0.33187,0.058633,3.5228,0
0.058633,3.4728,0.32821,0.058633,3.4728,0
0.18385,3.9302,0.35535,0.18385,3.9302,0
0.11727,3.9463,0.35478,0.11727,3.9463,0
0.092053,3.7697,0.34754,0.092053,3.7697,0
0.029316,3.6676,0.34152,0.029316,3.6676,0
0.060685,3.7186,0.34461,0.060685,3.7186,0
0.1921,3.8212,0.35102,0.1921,3.8212,0
0.083879,3.9737,0.35499,0.083879,3.9737,0
3.7747,3.3521,0.33419,3.7747,3.3521,0
4.2504,3.6991,0.36919,4.2504,3.6991,0
