  x,     y,   corriente
    0.89397E+01,    0.43642E+02,    0.23104E-13
    0.94785E+01,    0.44187E+02,    0.24204E-13
    0.94490E+01,    0.44003E+02,    0.23446E-13
    0.92992E+01,    0.43948E+02,    0.23857E-13
    0.87389E+01,    0.43120E+02,    0.22253E-13
    0.89357E+01,    0.43076E+02,    0.21931E-13
    0.91065E+01,    0.43251E+02,    0.22511E-13
    0.90227E+01,    0.43399E+02,    0.22515E-13
    0.78890E+01,    0.43022E+02,    0.22083E-13
    0.78566E+01,    0.43009E+02,    0.22125E-13
    0.81084E+01,    0.42778E+02,    0.21742E-13
    0.80572E+01,    0.42869E+02,    0.21570E-13
    0.74623E+01,    0.42052E+02,    0.19773E-13
    0.75369E+01,    0.42236E+02,    0.19963E-13
    0.77820E+01,    0.42221E+02,    0.20388E-13
    0.76990E+01,    0.42082E+02,    0.19609E-13
    0.75604E+01,    0.42105E+02,    0.19970E-13
    0.62682E+01,    0.41540E+02,    0.17674E-13
    0.63170E+01,    0.41538E+02,    0.17755E-13
    0.63414E+01,    0.41519E+02,    0.17692E-13
    0.63288E+01,    0.41488E+02,    0.17580E-13
    0.62917E+01,    0.41491E+02,    0.17656E-13
    0.62872E+01,    0.41521E+02,    0.17612E-13
    0.64031E+01,    0.41521E+02,    0.17675E-13
    0.64296E+01,    0.41444E+02,    0.17523E-13
    0.63908E+01,    0.41470E+02,    0.17621E-13
    0.45814E+01,    0.40538E+02,    0.13017E-13
    0.43551E+01,    0.40393E+02,    0.12399E-13
    0.46415E+01,    0.40263E+02,    0.12519E-13
    0.61854E+01,    0.41496E+02,    0.17507E-13
    0.62379E+01,    0.41532E+02,    0.17662E-13
    0.62204E+01,    0.41500E+02,    0.17482E-13
    0.63462E+01,    0.41342E+02,    0.17276E-13
    0.63975E+01,    0.41176E+02,    0.16970E-13
    0.63225E+01,    0.41261E+02,    0.17059E-13
    0.62419E+01,    0.41249E+02,    0.17024E-13
    0.63502E+01,    0.41054E+02,    0.16532E-13
    0.71413E+01,    0.42086E+02,    0.19657E-13
    0.71119E+01,    0.42033E+02,    0.19390E-13
    0.70561E+01,    0.42046E+02,    0.19550E-13
    0.57189E+01,    0.40694E+02,    0.15034E-13
    0.53890E+01,    0.40868E+02,    0.15113E-13
    0.53936E+01,    0.40547E+02,    0.14612E-13
    0.55170E+01,    0.40676E+02,    0.14727E-13
    0.51996E+01,    0.39851E+02,    0.12957E-13
    0.53848E+01,    0.39992E+02,    0.13968E-13
    0.53277E+01,    0.40162E+02,    0.13605E-13
    0.50054E+01,    0.39937E+02,    0.13129E-13
    0.59335E+01,    0.40860E+02,    0.15667E-13
    0.59060E+01,    0.40757E+02,    0.15534E-13
    0.57947E+01,    0.40746E+02,    0.15545E-13
    0.65669E+01,    0.41390E+02,    0.17748E-13
    0.66808E+01,    0.41392E+02,    0.17577E-13
    0.11097E+02,    0.46153E+02,    0.25632E-13
    0.10669E+02,    0.47207E+02,    0.27317E-13
    0.10633E+02,    0.46137E+02,    0.26140E-13
    0.10506E+02,    0.46492E+02,    0.26728E-13
    0.10695E+02,    0.46925E+02,    0.27205E-13
    0.10655E+02,    0.46786E+02,    0.26919E-13
    0.98402E+01,    0.45191E+02,    0.25718E-13
    0.98947E+01,    0.45286E+02,    0.25834E-13
    0.98974E+01,    0.44968E+02,    0.25214E-13
    0.98341E+01,    0.45080E+02,    0.25273E-13
    0.96086E+01,    0.44467E+02,    0.24461E-13
    0.10394E+02,    0.45855E+02,    0.25853E-13
    0.10264E+02,    0.45776E+02,    0.26233E-13
    0.10218E+02,    0.45515E+02,    0.25559E-13
    0.10205E+02,    0.45656E+02,    0.25997E-13
